

log-likihood-c, log-likihood-t, ratio, playName, TrueGenre, Predicted Genre
-218312.067546, -219356.943465, 1044.8759193, awew.txt, comedy, comedy
-197358.116173, -200166.990315, 2808.87414153, ayli.txt, comedy, comedy
-135545.614206, -136975.532681, 1429.9184759, coe.txt, comedy, comedy
-204791.623172, -206758.353644, 1966.7304721, lll.txt, comedy, comedy
-197308.91962, -200162.93942, 2854.01979962, maan.txt, comedy, comedy
-207695.372801, -209148.553325, 1453.18052362, mfm.txt, comedy, comedy
-156980.809358, -156822.937277, -157.872081042, mnd.txt, comedy, tragedy
-196712.819731, -196725.591391, 12.7716594709, mov.txt, comedy, comedy
-212276.471568, -216984.92889, 4708.45732251, mww.txt, comedy, comedy
-160623.904321, -162301.52221, 1677.61788925, tgov.txt, comedy, comedy
-181510.575676, -183886.395187, 2375.81951102, tn.txt, comedy, comedy
-199229.883232, -199380.465858, 150.582625262, tots.txt, comedy, comedy
-247919.864197, -240356.06204, -7563.80215709, ac.txt, tragedy, tragedy
-266520.809405, -259409.899832, -7110.90957282, cor.txt, tragedy, tragedy
-277582.089789, -276190.750086, -1391.33970313, ham.txt, tragedy, tragedy
-196633.606685, -186226.017281, -10407.5894048, jc.txt, tragedy, tragedy
-244531.679301, -243862.642102, -669.037198448, lear.txt, tragedy, tragedy
-160988.885905, -158341.223739, -2647.66216622, mac.txt, tragedy, tragedy
-239575.760762, -239961.716269, 385.95550636, oth.txt, tragedy, comedy
-233081.654533, -235863.711801, 2782.05726798, rj.txt, tragedy, comedy
-201707.559794, -196599.856739, -5107.70305495, ta.txt, tragedy, tragedy
-260306.521808, -261878.741455, 1572.21964668, tc.txt, tragedy, comedy
